dataset,aggregation,k,threshold,exact,approx,abs_error,rel_error,analytic_bound,bound_gap
Heavy-tailed,sum,1,1,19176261248198.453,18718171009024,458090239174.45312,0.023888402084503789,401661097148416,876.81653700430104
Heavy-tailed,avg,1,1,191762.61248198454,187181.71009024,4580.9023917445447,0.023888402084503855,4016610.9714841601,876.81653700429854
Heavy-tailed,count_gt,1,1,50001242,656628,49344614,0.98686776620468752,49344615,1.0000000202656363
Heavy-tailed,min,1,1,8.1569420365449741e-13,0,8.1569420365449741e-13,1,8589934592,1.053082705935033e+22
Heavy-tailed,max,1,1,1351017506442.8569,1348619730944,2397775498.8569336,0.0017747923231358591,8589934592,3.5824599075664048
Heavy-tailed,var,1,1,41896353357403008,41598111740897496,298241616505512,0.0071185578840553976,2.288181603587999e+18,7672.2411526551978
Heavy-tailed,sum,2,1,19176261248198.453,19154921959880,21339288318.453125,0.0011127971215169944,1568988660736,73.525819480081665
Heavy-tailed,avg,2,1,191762.61248198454,191549.2195988,213.39288318454055,0.0011127971215170427,15689.88660736,73.525819480078468
Heavy-tailed,count_gt,2,1,50001242,7913301,42087941,0.84173791123028507,42094408,1.0001536544636385
Heavy-tailed,min,2,1,8.1569420365449741e-13,0,8.1569420365449741e-13,1,33554432,4.1136043200587227e+19
Heavy-tailed,max,2,1,1351017506442.8569,1351002095616,15410826.856933594,1.1406829877067485e-05,33554432,2.1773284659870984
Heavy-tailed,var,2,1,41896353357403008,41895453386715848,899970687160,2.1480883538542545e-05,8938146615017474,9931.5974870506179
Heavy-tailed,sum,3,1,19176261248198.453,19175769624839.484,491623358.96875,2.5637080795138645e-05,6128861956,12.466580043829001
Heavy-tailed,avg,3,1,191762.61248198454,191757.69624839484,4.9162335896980949,2.5637080795193895e-05,61.288619560000001,12.466580043802134
Heavy-tailed,count_gt,3,1,50001242,35300758,14700484,0.29400237698095577,15784906,1.0737677752650865
Heavy-tailed,min,3,1,8.1569420365449741e-13,0,8.1569420365449741e-13,1,131072,1.6068766875229386e+17
Heavy-tailed,max,3,1,1351017506442.8569,1351017431040,75402.85693359375,5.5811902195201508e-08,131072,1.7382895732376997
Heavy-tailed,var,3,1,41896353357403008,41896347975118752,5382284256,1.2846665221876549e-07,34914634257056.812,6486.954719668528
Heavy-tailed,sum,4,1,19176261248198.453,19176255545588.738,5702609.71484375,2.9737859956301394e-07,23940867.015625,4.1982299706233661
Heavy-tailed,avg,4,1,191762.61248198454,191762.55545588737,0.057026097172638401,2.9737859968921634e-07,0.23940867015625,4.1982299688417095
Heavy-tailed,count_gt,4,1,50001242,49329602,671640,0.013432466337536175,710295,1.0575531534750759
Heavy-tailed,min,4,1,8.1569420365449741e-13,0,8.1569420365449741e-13,1,512,627686206063647.88
Heavy-tailed,max,4,1,1351017506442.8569,1351017506304,138.85693359375,1.0277952205027414e-10,512,3.6872483551879709
